,Issue,Consumer complaint narrative,Company public response,Complaint ID
14,Cont'd attempts collect debt not owed,"i, let my family member get service with XXXX several years ago. they ran up a bill .i did n't know until collection agency sent letter .after the second XXXX i payed a settlement. now the third XXXX wants more money.",Company believes it acted appropriately as authorized by contract or law,1587675
15,Cont'd attempts collect debt not owed,"XXXX XXXX XXXX XXXX XXXX, working with XXXX XXXX XXXX, imposed hefty up-front fees based on a false promise that they would sell timeshare quickly. They issued a credit card to collect the debt. 
They never sold the timeshare and yet are charging {$4500.00} for a service they never performed. 
Both companies are based in XXXX, MO.",Company has responded to the consumer and the CFPB and chooses not to provide a public response,2386034
16,Communication tactics,"I received a call from a representative with Diversified Adjustment Service regarding a debt with XXXX. I was informed that there is a {$12.00} processing fee per payment, and if I had wanted to make multiple payments to settle the account I would have to pay the fee each time. I asked the rep if this could be waived and was told it could n't. I said I would start setting money aside and asked if I could be called back in 6-8 weeks, I was told "" Good luck with that, You have one week '' and then the rep hung up. I felt this was threatening and rude.",Company disputes the facts presented in the complaint,2110602
17,Disclosure verification of debt,"I 'm a member of the XXXX and have been activated on title XXXX orders for XXXX duty of various time lengths in the last couple of years. My civilian job has been very helpful and has worked well with me and my family with the transitions, up until this point, that is. The attached documentation is in chronological order and I will try to explain it in this letter in the same manner. 
The first letter I received was dated XXXX XXXX XXXX and it is telling me I have a debit of {$1700.00} in unpaid health insurance. I elected to pay for and maintain my civilian coverage while on XXXX XXXX to allow my family to keep our same providers and use my military insurance as secondary coverage. It states in the letter that my payments are scheduled to be taken out of my check and that I would maintain the pretax benefit with that. I elected to let that procedure take place as outlined in the letter. I was back at the XXXX from XXXX XXXX XXXX until XXXX XXXX XXXX ; I then went on XXXX XXXX for two more weeks from XXXX XXXX XXXX until XXXX XXXX XXXX. I then returned to the XXXX on XXXX XXXX XXXX and stayed there until I was activated on the orders that I am on now ; XXXX XXXX XXXX until XXXX XXXX XXXX. 
In XXXX XXXX I received the attached letter from the Treasury Dept. that stated I owed {$660.00} and listed a website and a telephone number. The website seemed suspect to me and was asking for all my personal information, so I called the phone number on the letter and left messages there, with no response. The letter also stated on the top my debit was {$660.00}, but at the bottom payment coupon it says I owe {$850.00}. I contacted my supervisor at the XXXX and he contacted XXXX of the XXXX personnel that are located in XXXX. They both advised me to wait until they checked it out to make sure it was legitimate. 
Next, I received a phone call on my cell phone from Pioneer Credit Recovery Inc. asking if I was XXXX XXXX, what was my birthdate, address and last XXXX of my SS. Of course I was very wary of answering, but then he told me my last XXXX! He wanted me to send them a copy of my orders and I told him the XXXX had copies of my orders and if they sent him to me, they can give him copies of my orders. This is what rekindled my efforts at finding out what is going on, so I contacted my XXXX Supervisor, and the XXXX person. XXXX sent me the information attached dated XXXX XXXX that outlined my medical insurance payments and what is still due. On page XXXX it states I owe a principle of {$630.00}, interest of {$2.00}, a penalty of {$6.00} and administrative costs of {$30.00}. After I obtained this information I mailed a {$500.00} check to the XXXX in XXXX XXXX with the attached XXXX XXXX XXXX letter. I have also attached an image of the cancelled check for {$500.00}. I will mail them the remaining amount when I find out if I am liable for the full amount. This brings me to XXXX of my questions ; Am I responsible for the interest of {$2.00}, a penalty of {$6.00} and administrative costs of {$30.00} or does the XXXX allow for these charges to be waived because they were incurred while I was on military duty and they are trying to be collected while I am again on military duty? I would also like this incident removed from my credit report. Does n't the XXXX XXXX XXXX XXXX prevent my credit from being damaged because of this?",Company has responded to the consumer and the CFPB and chooses not to provide a public response,2075881
18,Communication tactics,continued attempts from numerous collection agencies trying to collect on same acct.,Company believes it acted appropriately as authorized by contract or law,1508136
19,Cont'd attempts collect debt not owed,"FBCS INC XXXX XXXX XXXX XXXX XXXX XXXX XXXX, PA XXXX Sent me a letter stating they were collecting on behalf of XXXX XXXX XXXX. I checked my credit report and it didnt show anything related to what they were trying to collect for. They dug up an old debt that had already been settled and they are trying to trick people into paying old debts. 

They are sending out letters to people",Company believes it acted appropriately as authorized by contract or law,1829397
20,Disclosure verification of debt,"I received a copy of my credit report, and that is when I notice the collection account for National Recovery Agency. I was never notified by the collection company, so I was unable to dispute the account for which they are reporting.",Company believes it acted appropriately as authorized by contract or law,1854954
21,Disclosure verification of debt,I was never informed of the debt being collected. This agency did not make any attempt to contact me regarding this issue of owed medical bills. The agency just added it as an alert on my credit report.,Company believes it acted appropriately as authorized by contract or law,2022347
22,Dealing with my lender or servicer,"My educational institution, XXXX XXXX XXXX XXXX XXXX XXXX, initiated my repayments in XXXX through UHEA ( XXXX ). At that time, I owed approximately XXXX, XXXX dollars. Through a deferment, inability to "" communicate '' with XXXX, getting conflicting information from them when they would respond, there total lack of cooperation in providing statements and other loan specifics as well as my own ignorance in just refusing to deal with them or my loan for about 2 years, I have since paid approximately XXXX dollars to them and still owe them approximately XXXX, XXXX dollars. I am nearing retirement and do n't feel I can maintain these payments much longer as I will not have the money. It trying to work with them to settle the loan, I received but rude and degrading comments. I am at my wits end about it.",Company chooses not to provide a public response,1721424
23,Cont'd attempts collect debt not owed,"I have had repetitive phone calls ( a recorded message ) telling me that this is a debt collector and to call XXXX and give them this # : XXXX. I typically hang up but have grown tired of the calls so I called the number. There were XXXX recorded options : Press XXXX to pay the debt, Press XXXX for a 'settled in full ' letter, Press XXXX for wrong #, Press XXXX to speak to an agent. I pressed XXXX and asked the agent ( with an XXXX accent ) why I was being called as I have NO debt. He said he would check my info and shortly we were cut off. The company says it is XXXX.",Company believes it acted appropriately as authorized by contract or law,1629406
24,Disclosure verification of debt,"I was notified by my XXXX at XXXX that Senex reported a debt as unpaid to XXXX on XXXX XXXX, 2015. They did not mail me a notice to dispute before they did it.",Company believes it acted appropriately as authorized by contract or law,1381327
25,False statements or representation,"I discontinued service with XXXX and they pressured me into holding onto their equipment for no-charge. I told them I 'd consider service again at some point, but I was already under contract with XXXX. They called me constantly about their "" deals ''. I repeated numerous times that I would consider their service again once I was out of contract with XXXX and they stated they would n't charge me anything for the equipment. I told them I would immediately send the equipment back if I would be charged any kind of fees. This went on for months without a problem. They assured me that I would n't be charged. Then I started getting miniature charges of {$6.00} here or there. I told them I would send the equipment back and they kept billing me for "" maintenance '' fees on the account even though I was no longer under contract for TV service. Apparently there 's a debt of {$21.00} for needing to "" service '' my account even though I did n't have TV service with them anymore. I owe them nothing, but they have turned it over to a collection agency called Stellar Recovery Inc .",Company believes it acted appropriately as authorized by contract or law,2216997
26,Communication tactics,"In XXXX 2015 I received a collections notice from "" Bay Area Credit Service '' - I had no idea what it was for so I sent a FAX requesting more information, such as to whom the money was owed and for what ... .. I then set it aside to await a response and if none received intended to turn it over to the police as mail "" phishing scam ''. 
On XXXX/XXXX/15, I had still received no response so I decided to attempt calling them before reporting it to the police. It turns out that the debt was a valid medical debt however, the provider failed to send me a bill and in speaking with the original service provider ( XXXX XXXX XXXX - XXXX, CA ), it turns out they had the secondary insurance information all along and simply failed to bill them either. Additionally, they advised that they had a different address but this has been the address for years and was also the address where the service was provided. The first person I spoke with said they attempted phone contact but they did not and when I mentioned that to the supervisor, she did not indicate that any attempt to contact by telephone was made. The hospital and physicians who provided treatment related to this injury all have the correct information and were all paid in full within weeks of service. 
My concern is that this type of business practice damages a person 's credit - especially when the 'debtor ' would have been and still is more than willing and able to pay any uncovered expenses. 
After two hours of phone calls and speaking with a supervisor, I was told they would forward the information to the collection agency and request that it not be reported to credit agencies. I explained that I was comfortable sharing any more information with any collection agency and again requested that they pull it out of collections, bill the secondary insurance and then, if any monies were owed, bill me for the remainder. 
The supervisor at XXXX XXXX XXXX was unfamiliar with the procedure to pull back any accounts sold to collections but will look into it and phone me back in two days. Even if I am successful in pressuring them to do the right thing, it is clear that correcting mistakes is not a standard policy or practice for this provider. 
Is there a law in place protecting people from such damaging business practices? if not, there should be. I did read that the collections agency is required to give you the original provider 's information such as the name and contact information and that was not done upon receipt of my FAXED inquiry in XXXX 2015 and when I spoke with them today, they gave me the name but refused to give me the contact information for the provider ( I found it myself online ). 
Additionally, the practice of 'selling ' accounts due at a reduced rate when they are in fact able to collect through standard billing methods, only serves to further increase the already inflated cost of medical care - making it increasingly difficult for average citizens to obtain and pay for needed medical care.",Company can't verify or dispute the facts in the complaint,1676389
27,Disclosure verification of debt,"On XXXX XXXX, 2017, I had to call the XXXX County Toll Authority because I was having trouble retrieving my account online. I spoke with XXXX who informed me that I have a {$40.00} credit in my account, by the XXXX tag in my car had been inactivated and I now have toll violations totaling over {$200.00}. I asked XXXX why I was never informed about the violations and she said the two notifications they sent out came back. Come to find out, they had my apartment number incomplete ; which does n't make sense because I 've received correspondence to my address from the Toll Authority before. I also verified with XXXX they had my correct email on file and asked her why was n't I notified via email when they saw the mail had gotten returned. XXXX could n't give me a reason, but apologized for the mix up and said she would waive the administrative fees that had accrued since I was n't properly notified. However, there were XXXX violations that they already invoiced and sent over to a third party collector : Lineberger, Goggin, Blair and Sampson. XXXX told me she could n't waive the collector 's fees and I would have to contact them directly to discuss that. I spoke with XXXX at the collector 's office and told her that I was never notified of the debt I wanted to speak to someone about the fees being waived since due diligence was n't done. Just like the XXXX County Toll Authority, XXXX read my address and the apartment number was incomplete. XXXX said they get all their information from the Toll Authority who gets their information from the DMV. I told XXXX that I 've received documents from the Toll Authority before at my current address and my address is also reflected on my license ( so the DMV would have the correct information as well ). I informed XXXX that because of their mistake, the Toll Authority was going to waive their fees and I would just have to pay the toll amounts. XXXX advised me to fax proof of the fee waiver from the Toll Authority to XXXX, attn : XXXX and someone will review the information to determine if the fees from the collector should be waived as well. I called the XXXX County Toll Authority back and spoke with XXXX at XXXX, who said they do n't provide physical papers to the collector because the collector can see all of the notes in the system. XXXX documented my account that the Toll Authority was waiving their fees and told me to call the collector back and tell them they can find the documentation they need in the notes. I called the collector back at XXXX and spoke with XXXX , who transferred me to the XXXX branch by mistake. I called the collector back again at XXXX and spoke with XXXX , who then transferred me to XXXX XXXX the original rep I had spoken with ). I told XXXX what the representative from the Toll Authority told me and she said they ca n't take off the fees. I then requested to speak with a supervisor or someone who is authorized to exercise discretion about their collection fees and she transferred me to XXXX XXXX ; I left XXXX XXXX a voicemail requesting a call back at XXXX. It 's been a week and I still have n't heard back from XXXX XXXX or anyone at the collection agency. My issue is that I was n't aware of the toll violations because I thought my XXXX tag was working and was never notified by anyone, about the violations. I should n't have to pay a fee for something I was n't informed about ( especially when they had other ways to contact me : email, phone ) and therefore, never had a chance to dispute the debt ; Which is a violation of my consumer right. I have already paid the tolls that were owed, but I 'm not able to pay the XXXX that were invoiced because the amount includes the collector 's fees, which I feel I should n't have to pay. The collector did not do their part in contacting me and should n't be able to charge a fee for a service that was n't provided.",Company believes it acted appropriately as authorized by contract or law,2280995
28,Communication tactics,"I was a few days late on my bill ; it was posted to my account on the XXXX/XXXX/16. Since my payment posted, I recieved 11 phone calls from XXXX different phone numbers telling me my payment is due. The numbers they call from are : XXXX, XXXX, XXXX, XXXX, XXXX, XXXX, XXXX, XXXX, XXXX, XXXX, XXXX. I did not answer all calls ; the calls I did not answer were verified through research ... not one message was left.",Company believes it acted appropriately as authorized by contract or law,1976954
29,Disclosure verification of debt,"I C Systems placed a {$450.00} debt that was from XXXX XX/XX/2010 - XX/XX/2010 on my credit report. I had no knowledge of this bill until I received an alert from XXXX credit monitoring service that I even owed this balance. 

I called I C Systems today and was then told about the debt. They claimed to have sent notice of collections to a previous post office box that I had in Arizona. However, ALL of the information on my credit report is correct. Therefore, if they wanted to contact me about this, my current address is listed on all XXXX bureaus. They could 've also called me, because my current phone number is on all three reports as well. 

Instead of conducting business the correct way, they went ahead and placed this on my report without properly contacting me and giving me a chance to dispute this. This is unacceptable. My score has dropped XXXX points because of this. 

Furthermore, the statute of limitations is up for this debt. And they are still trying to collect anyway KNOWING that the statute of limitations is 7 years for this type of debt. Just pitiful. 

I have sent I C Systems an email letting them know that I am reporting them to the CFPB. Had I not seen this on my credit report, it would 've SAT there. I 've worked entirely TOOOOOOO hard to restore my credit and will continue to work to keep it secure. 

I have a severe disgust for companies that do things like this and I would like immediate action taken to not only have this DELETED from my credit reports, but this company needs to be fined. Cause if they 're doing this to me, they 're doing it to other people.",Company has responded to the consumer and the CFPB and chooses not to provide a public response,2318771
30,Disclosure verification of debt,"I have contacted this company a total of three times, requesting validation of the alleged debt ; as well as proof that they ( the company ) has the legal authority to collect the alleged debt on behalf of the original creditor. Twice the company sent a billing ledger as validation. A billing ledger does not assign a debt to me. In the two times they have sent that billing ledger they neglected to include proof that they have the legal authority to collect the the alleged debt.",Company believes it acted appropriately as authorized by contract or law,2361233
31,Cont'd attempts collect debt not owed,I have called XXXX XXXX Medical Center to check if I owe anything but they confirmed all of my bills were paid off.,Company has responded to the consumer and the CFPB and chooses not to provide a public response,1988391
32,Cont'd attempts collect debt not owed,"Calls from "" Harris and Harris '' a debt collector. XXXX I called this number XXXX/XXXX/2016 to tell them I owe no one, they hung up on me.",Company believes it acted appropriately as authorized by contract or law,2110488
33,Taking/threatening an illegal action,"on XXXX XXXX, XXXX Mariner Finance was awarded a judgment against me. Immediately after they had a writ of garnishment issued against my wife and I 's joint account at XXXX XXXX XXXX. My wife is not a judgment debtor only myself and the account was opened in XXXX ( judgment pursued in XXXX. The judgment was for {$1600.00}, XXXX XXXX XXXX placed the hold for approx. {$2100.00} which was in excess of the amount of the judgment. XXXX XXXX XXXX also held deposits on XXXX/XXXX/XXXX and XXXX/XXXX/XXXX. I contacted Mariner Finance via telephone at XXXX on XXXX/XXXX/XXXX called was placed to XXXX XXXX at Mariner Finance legal department and a message was left on voicemail to return my call. XXXX/XXXX/XXXX XXXX XXXX returned my call at XXXX Explained to me my money was tied up and I could do nothing to get it reversed, I was also told that I "" was n't too smart are you? '' XXXX XXXX did give me a number for the local XXXX, MD Mariner Finance office to call.XX/XX/XXXX at XXXX called the XXXX, MD Mariner Finance office and talked to XXXX, XXXX informed me that I would need to tell her the total of all the money in my account and call back. XXXX also asked for my employer 's information and would n't help me until I gave it to her. XXXX/XXXX/XXXX XXXX called XXXX back at XXXX, MD Mariner Finance and gave her the total amount in my Bank account hoping for resolution, XXXX told me she would return my call in a couple of hours to help get a release the funds. XXXX/XXXX/XXXX at XXXX XXXX called XXXX Mariner Finance and asked to speak to XXXX. XXXX informed me I would have to bring {$500.00} in cash to the XXXX, MD office and they would release the funds. At this time I informed XXXX that the account they placed a hold on was a joint account with my wife and they were in violation of Maryland statute 11-603, XXXX responded by telling me to get an attorney to call there attorney. XXXX/XXXX/XXXX XXXX called XXXX XXXX at Mariner Finance legal and informed him Mariner Finance was in violation of Maryland Statute 11-603 by garnishing a joint bank account without my wife being a judgment debtor. XXXX said he had nothing from XXXX XXXX XXXX stating that was a joint account so he would n't be releasing anything. XXXX/XXXX/XXXX attended via telephone a free consultation with a bankruptcy attorney who directed me what district court motion to file to try and get the bank account funds released. Motion was mailed to XXXX XXXX 's district court on XXXX/XXXX/XXXX and was filed with the court on XXXX/XXXX/XXXX. XXXX/XXXX/XXXX XXXX XXXX attorney for Mariner Finance issued a writ of garnishment of wages to be served on my employer. I am the only income for my family. My wife and I have XXXX children from the ages of XXXX months to XXXX years old. I have told Mariner Finance that I am the head of my household and they are tying up money that my family needs to survive. In response Mariner Finance has tied up even more money. They already have my bank account money held up with the courts and now they are trying to take 25 % of my paycheck that we now need all of for basic necessities ( electricity, water, food, medical, gas, insurance, etc. ) in addition to trying to pay an attorney to help us. On XXXX/XXXX/XXXX at XXXX XXXX XXXX XXXX manager XXXX informed me that XXXX XXXX XXXX could not release the funds placed on hold because XXXX XXXX attorney for Mariner Finance submitted the writ of garnishment claiming Mariner Finance was a state agency which made the garnishment in violation of Maryland statute 11-603 legal. Please investigate this claim as perjury to XXXX XXXX 's District court. Mariner Finance is a private institution and not a state agency in any capacity.",Company has responded to the consumer and the CFPB and chooses not to provide a public response,1960996
34,Taking/threatening an illegal action,"The XXXX companies I am writing about have been relentless and dishonest in attempting to collect from me credit card debts that were generated during the XX/XX/XXXX/XX/XX/XXXX economic meltdown. That is when the clock started. According to the statute of limitations in California where I reside, these debts are past the statute of limitations period of four years. I was informed on Wednesday that one of these companies has obtained a judgment against me and will begin to garnish my wages effective XX/XX/XXXX, defying the laws of the state that clearly spell out that debt that is older than 4 years old can not be collected. In addition, this particular debt collection firm has filed suit against me ( documents enclosed ) These aggressive debt collectors have made it a mission to enforce debts that are barred by the statute of limitations. In good faith I negotiated with XXXX of the XXXX debt collecting companies a few years ago and I have been paying down this debt slowly. The other XXXX companies have been incessant in their continued pursuit. These are all open credit accounts debts and the debt collectors know that these debts are old and past the statute of limitations. They still proceeded to sue me. Now my professional reputation within the company I work for is very much negatively impacted, perhaps irreversibly. I have no idea what impact this wage garnishment issue will have on my future advancement chances and income earning potential. The imposed wage garnishment sums are so outlandish that I can not possibly stay financially viable ; I will crash. The XX/XX/XXXX/XX/XX/XXXX meltdown had terrible financial repercussions on my family and I. When people around me were declaring Chapter XXXX bankruptcy, I stuck it out and fought back in order to pay back loans. My house went into foreclosure three times and three times I saved it from this fate by providing mountains of bank-requested documentation, many times the day before the house went to auction. I am very proud of having achieved this. Unfortunately some of my debts went without recourse and I lamentably could not pay them back. I achieved new and promising employment XX/XX/XXXX and I was looking forward to a productive and contributory career advancement and now this. I find it appalling that the courts would allow for a lawsuit of this nature, in full knowledge that the cases fall outside of this state 's statute of limitations. My situation now is dire. After having fought back from the precipice more than once, I am besieged by an unlawful and unscrupulous turn of events. Mind you ; I successfully came back from the meltdown while dealing with both my mother and father 's illnesses and subsequent passing. I took care of them every day after work for four years. Would not have done it any other way. So kind folks, an act of God brought me to your website. Your mission statement and goals are so worthy I can not begin to express my sentiments. Thank God that a group like yours exists. Now, I ask for help. I am staring at a life ending on such a false note. Please help my family and I traverse this labyrinth and find true justice out of this terrible whirlwind. I thank you profusely from the bottom of my heart. God Bless You.",Company has responded to the consumer and the CFPB and chooses not to provide a public response,2076734
35,Cont'd attempts collect debt not owed,"Just received a letter from XXXX Service collecting for a local hospital. Debt is for a person with almost the same mane ( person that owes debt has different middle initial and living at a different address ). Also, some of the hospital visits are for a period when I was out of the country working for a company in XXXX XXXX. Just notified via mail. Individual is XXXX years younger than myself and has had trouble with the law in the past XXXX previous debt/restitution )",Company believes complaint is the result of an isolated error,1371243
36,False statements or representation,"This began when I subscribed to XXXX XXXX internet service. 
In my initial contact with XXXX XXXX there representative told me in order for them to supply internet service I would need modem. The rep gave me a precise description of the modem. I found and purchased that exact modem. 
However, when the installer arrived to do the install he looked at the modem and said that is the wrong modem and I can not connect your service with that modem. I explained to him that their rep told me to buy that modem and showed him my notes with the reps name and contact information. He said, OH, they do n't know what they 're talking about, and went on to tell me which modem I needed, and I could order it from XXXX which I did. At that point I had over {$250.00} spent on Modems and they made no offer to cover my costs on the wrong modem I had purchased per their reps instruction. 

So the installer hooked up the service with the which worked for about 2 months and then it started to go down every few days. About XXXX or XXXX times they were able to get it working again. The next time it went down however they were not able to get it working again. They said that they would need to come out and go inside my house and see what was wrong with my phone lines and that it would be a minimum charge of {$250.00} and could be more, perhaps even {$500.00} or more depending on what they found. I asked them if I paid there fee for coming out and doing what ever they were going to do if they would guarantee that I would then have reliable service. They said they could make no such guarantee. I also explained to them that my phone worked fine. I checked with my phone company to see if there could be something wrong with my phone lines considering the fact that my phone worked fine. The phone company said that would not be the case if my phone was working fine. I called back to XXXX XXXX and told them the phone company said my phone lines were fine and to please restore my service. I made several more calls to XXXX XXXX over the next couple months and continued for that time to pay their bill even though I had no service. On my last call I told them that they were in breach of the contract because they failed to provide the service I had been paying for, and that I would stop paying their bill if they did not restore my service. They said again that my phone lines had to be the problem and they would come out and try to fix the lines for the minimum charge of {$250.00}. I said I was not willing to risk another {$250.00} and perhaps more on the basis of what I had found out from the phone company and that they would not guarantee I would have reliable service even if I paid their additional charges. I told them to cancel the service and to stop billing me because I was not going to pay a bill for non existent service. So I stopped paying the bill because I had no service but they continued to bill me for another 4 months. They then sent me to collections for that additional 4 months of service which I did not get, just as I had not received the last 3 months of service which I had paid for. So the net result is that I paid over {$250.00} for XXXX modems which are useless to me, I paid for XXXX months of service and received less that 3 months service. So altogether I paid {$250.00} for modems, about {$180.00} for XXXX months of service, and I now have a collection on my credit report that is negatively affecting my credit score such that the mortgage I am applying for is going to cost thousands of dollars more due to this collection showing on my credit report for {$120.00}. In reality XXXX actually owes me money. 
To make matters even worse the collection appears on my credit report as an XX/XX/XXXX occurrence, when in fact this all took place in XX/XX/XXXX. 
The collection agency, at no time has supplied any documentation that this debt is accurate as reported.",Company believes it acted appropriately as authorized by contract or law,2194151
37,Communication tactics,"These people are calling me about a debt I never heard of. On top of that they say there is XXXX debt from 2007 and XXXX from earlier than that. XXXX past SOL, IF they were my debt to begin with. I want this company to cease and and all communication with me ASAP.",Company chooses not to provide a public response,1732722
38,Improper contact or sharing of info,"Progressive Management Systems in XXXX XXXX, CA sent me a letter/correspondence and disclosed their company name and information on the outside of the envelope for my neighbors to see. This is a violation of my privacy and the FDCPA. The account number is XXXX and the letter states they are a debt collector. Even though this is a letter stating the account was withdrawn by the creditor they have now shared their company name and information. They should have put the address only on the envelope so my neighbors would not have seen their agency name.",Company believes it acted appropriately as authorized by contract or law,2132665
39,Disclosure verification of debt,I had a credit card a few years ago that was sent to a collections. I called to set up a payment plan to start paying it off and was told the balance was XXXX in XXXX I started making payments of XXXX and at this point have paid XXXX. I called to find out the remaining balance is thinking its XXXX or so and they are now telling me i owe an additional XXXX . I asked them to provide documentation and was hung up on. So I called back again and they said they could not provide the balance and they charge everyone XXXX payments of a XXXX until the balance is paid off but could not tell me what the balance was when it was sent to collections or what was added onto the payment. I asked to speak with a manager and was once again hung up on. I have pulled a my credit report and its reflecting the charge off was XXXX. I received a email from XXXX XXXX XXXX stating i needed to make XXXX payments of a XXXX even though i only owe XXXX even with interest it does n't make sense why they are charging me a extra XXXX nor will they provide any documentation as to what i am being charged for. I am trying to pay off this debt and they will not provided me with an accurate pay off nor are they being honest of what the extra XXXX is going towards.,Company has responded to the consumer and the CFPB and chooses not to provide a public response,2307588
40,Cont'd attempts collect debt not owed,"It is being reported on my credit report as an "" open '' collection. This has been filed and discharged under bankruptcy in XX/XX/2014.",Company has responded to the consumer and the CFPB and chooses not to provide a public response,2291575
